id,label,x,y,source,target,nodeType,edgeType,markerEnd,color,weight
epic-1,Epic User Auth,100.0,50.0,null,null,,null,null,null,null
feature-1,Feature Login,200.0,150.0,null,null,,null,null,null,null
feature-2,Feature Password Reset,200.0,300.0,null,null,,null,null,null,null
story-1,User Story Log In,350.0,100.0,null,null,,null,null,null,null
story-2,User Story Reset Password,350.0,250.0,null,null,,null,null,null,null
story-3,User Story Auth API,350.0,400.0,null,null,,null,null,null,null
api-auth-spec,API Spec Auth,500.0,350.0,null,null,,null,null,null,null
class-auth-service,SW Class AuthService,650.0,400.0,null,null,,null,null,null,null
class-user-model,SW Class UserModel,650.0,550.0,null,null,,null,null,null,null
test-case-1,Test Case Valid Login,800.0,100.0,null,null,,null,null,null,null
test-case-2,Test Case Invalid Login,800.0,200.0,null,null,,null,null,null,null
test-case-3,Test Case Password Reset Flow,800.0,300.0,null,null,,null,null,null,null
1,Node 1,0.0,0.0,null,null,default,null,null,null,null
2,Node 2,200.0,-200.0,null,null,default,null,null,null,null
epic-to-feature-1,null,null,null,epic-1,feature-1,null,CONNECTED,arrow,default,null
epic-to-feature-2,null,null,null,epic-1,feature-2,null,CONNECTED,arrow,red,10.0
feature-to-story-1,null,null,null,feature-1,story-1,null,CONNECTED,arrow,default,null
feature-to-story-2,null,null,null,feature-2,story-2,null,CONNECTED,arrow,default,null
feature-to-story-3,null,null,null,feature-1,story-3,null,CONNECTED,arrow,default,null
story-to-api-spec,null,null,null,story-3,api-auth-spec,null,CONNECTED,arrow,default,null
api-spec-to-class-1,null,null,null,api-auth-spec,class-auth-service,null,CONNECTED,arrow,default,null
api-spec-to-class-2,null,null,null,api-auth-spec,class-user-model,null,CONNECTED,arrow,default,null
story-to-test-case-1,null,null,null,story-1,test-case-1,null,CONNECTED,arrow,default,null
story-to-test-case-2,null,null,null,story-1,test-case-2,null,CONNECTED,arrow,default,null
story-to-test-case-3,null,null,null,story-2,test-case-3,null,CONNECTED,arrow,default,null
1-2,null,null,null,1,2,null,CONNECTED,null,null,2.0